"dates","prec"
2013-05-12,0
2013-05-12,0.400000005960464
2013-05-12,0.200000002980232
2013-05-12,0
2013-05-12,0
2013-05-12,0
2013-05-12,0
2013-05-12,0
2013-05-12,0
2013-05-13,0
2013-05-13,0
2013-05-13,0
2013-05-13,0
2013-05-13,0
2013-05-13,0.300000004470348
2013-05-13,0.300000004470348
2013-05-13,0
2013-05-13,0
2013-05-13,0
2013-05-13,0
2013-05-13,0
2013-05-13,0
2013-05-13,0.600000008940697
2013-05-13,0.100000001490116
2013-05-13,0.800000011920929
2013-05-13,0
2013-05-13,0
2013-05-13,0.400000005960464
2013-05-13,0
2013-05-13,0.600000008940697
2013-05-13,0
2013-05-13,0
2013-05-13,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0.400000005960464
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-14,0
2013-05-15,0
2013-05-15,0
2013-05-15,0
2013-05-15,0
2013-05-15,0
2013-05-15,0
2013-05-15,0
2013-05-15,0
